,generated_headline,headline
88,the Supreme Court will hear oral arguments Tuesday in a case that could decide whether gay and lesbian couples have the right to marry. Roberts has a solid conservative record and would seem unlikely to support a constitutional right to same-sex marriage.,"John Roberts is at judicial crossroads as high court to hear key same-sex marriage case .
Case could decide whether same-sex couples nationwide have constitutional right to marry .
Chief justice disappointed conservatives earlier when he helped uphold Obamacare ."
89,"the CDC says 95 of the 2,117 passengers have suffered from vomiting, diarrhea and other symptoms. The illness has also affected five members of the 964-person crew. The Infinity left San Diego on March 29.","100 passengers and crew members have been sickened on Celebrity Infinity .
The ship, which is based on the West Coast, left San Diego in late March .
The CDC is scheduled to board the ship Monday ."
90,"police say the suspects planned to attack during a national commemoration in a week. They were associates of 18-year-old Nadun Haider, who was killed in September. Two men are charged with conspiring to commit a terrorist act.","Three of the five teens released .
One 18-year-old suspect has been charged, report says .
Australian police said the suspects were allegedly planning an ""ISIS-inspired"" attack ."
91,"Yellowstone is a supervolcano so enormous, it has puzzled geophysicists for decades. Scientists are using seismic technology to scan its depths. The discovery may help scientists better understand why Yellowstone's previous eruptions were some of Earth's largest explosions in the last few million years.","Scientist measured the thousands of small earthquakes in Yellowstone to scan the earth underneath it .
They discovered a vast magma reservoir fueling a vast one scientists already knew about .
Prehistoric eruptions of Yellowstone supervolcano were some of Earth's largest explosions ."
92,"""Star Wars"" fans mourned the loss of James Best, who is set to marry Ashley King in July. The first lady's Let's Move campaign has featured her dancing on more than one occasion. Fans have seen Anne Hathaway's take on Miley Cyrus' ""Wrecking Ball""","A couple named Burger and King?
Internet has a meltdown over ""Vampire Diaries"" departure ."
93,"""It looks right now (like somebody didn't do their job properly,"" a sheriff says. Kamron Taylor was on parole when he killed a man during a botched robbery. He has a history of trouble with the law that predates his murder conviction.","Sheriff: The correctional officer is in intensive care after being beaten, choked .
It appears ""somebody didn't do their job properly,"" sheriff says after the escape .
Kamron Taylor also tried to escape a courtroom after being convicted of murder in February ."
94,"Getty's death ""appears to be natural (causes) or an accident,"" his mother and father say. Some medication had also been recovered from Getty's home, police say. A female friend is at the home where Getty was found near a bathroom.","Getty's death appears to be natural causes or accident, coroner's office says .
Mother and father of Andrew Getty confirm death, asks for privacy ."
95,"Thousands of Yazidis live within hearing distance of one of Iraqi Kurdistan's frontlines with ISIS. They separated the young women and girls to be sold as sex slaves. ""The revival of slavery before the hour"" is a firmly established aspect of Shariah.","Hanan, 19, was captured by ISIS when militants took the town of Sinjar .
She was among the women and girls separated to be sold as sex slaves ."
96,Robert Bates pleads not guilty to a second-degree manslaughter charge. He says he meant to subdue with a Taser after Eric Harris fled from officers. The family of the man who was killed has been reassigned.,"Robert Bates said he meant to subdue a suspect with a Taser but accidentally shot him .
The preliminary hearing is scheduled for July 2 .
The judge said Bates was free to travel to the Bahamas for a family vacation ."
97,"Saudi special forces assisted Yemeni fighters in noncombat roles, source says. Houthi rebels withdrew from presidential palace and other key parts of Aden. The withdrawal signaled a reversal from rebel gains the previous day.","Two humanitarian workers killed .
Two Saudi border guards killed in exchange with rebels, Saudi Press Agency reports .
Saudi forces in non-combat roles ""coordinating and guiding"" fight against Houthis, source says ."
98,"Yemeni civilians have fled their homes since fighting began. Unicef hopes there will be enough time to deliver vital food and supplies. The airport has previously been bombed, but it won't last long.","Almost 16 million people in Yemen are in need of humanitarian aid, according to U.N.
Planeload of aid supplies including food and medicine was flown in to Sanaa on Tuesday .
A rare ceasefire was negotiated to allow the plane to land briefly ."
99,"FBI says John T. Booker posted on Facebook about ""the adrenaline rush"" of dying in jihad. He is charged with trying to detonate a car bomb at Fort Riley military base, complaint says. A second man was arrested and charged with failing to report a felony.","Alexander Blair, 28, of Topeka accused of knowing about bomb plot but not contacting authorities .
Fort Riley's security was never breached and the device was ""inert"" and not a threat, authorities say .
John T. Booker Jr., 20, of Topeka had acquired bomb parts and made a propaganda video, the Justice Department says ."
100,"Gisele Bundchen announced her retirement from the catwalk last weekend. The 34-year-old was the highest-paid model in 2014, according to Forbes magazine. Bundchen and Brady have been married since 2009.","Tom Brady to Gisele Bundchen: ""You inspire me every day""
Bundchen had last runway show Wednesday .
She'll be focusing more on family, ""special projects"""
101,"""We have created options for ourselves,"" a Pentagon spokesman says. The U.S. has been clear in its messages to Tehran on sending weapons to Houthi rebels. Iran could surreptitiously attempt to transfer weaponry to the Houthis, officials say.","U.S. Navy moves aircraft carrier, cruiser to waters near Yemen .
U.S., allied ships prepared to intercept Iranian vessel if they enter Yemen's waters .
Iranian admiral says his country's ships operating legally ."
102,"Clinton's campaign-in-waiting met on Saturday in Brooklyn, a day before she officially announces her presidential candidacy. The document says the campaign will try to avoid mistakes that plagued Clinton's failed 2008 run. Mook: ""We are humble: We take nothing for granted, we always outcompete and fight for every vote we can win""","Robby Mook, Hillary Clinton's soon-to-be campaign manager, distributes a ""values statement""
The memo maintains that the campaign must remain humble, disciplined and united ."
103,"China's biggest auto show opens in Shanghai this week. Vehicle sales in China totaled 23.5 million units last year, almost a third more than in the United States. Intense competition for China's drivers means car manufacturers are increasingly developing vehicles that cater to Chinese preferences.","Organizers want to ban scantily-clad models at car show .
The Shanghai Auto Show is a key event for global automakers .
Cars are no longer the status symbol they once were in China ."
104,"""She was strong and forceful, sweet and kind,"" a New York Democrat says. James Brady was shot in the head by John Hinckley Jr. during his attempt to assassinate Reagan.","NRA says although it disagreed with Sarah Brady, she was an honorable and respected woman .
Sarah Brady became involved in campaigns against gun violence after her son to picked up a loaded gun .
Her husband died in August, having spent the last part of his life in a wheelchair from being shot ."
105,"""Galaxy Quest"" is in the works at Paramount Television. The film focuses on the cast of a canceled space TV show who must save an alien nation. ABC has ""Uncle Buck,"" CBS has ""Rush Hour"" and Fox has ""Minority Report""","""Galaxy Quest"" TV series in the works .
Show would be based on the cult classic 1999 sci-fi comedy ."
106,FBI says Keonna Thomas bought an electronic visa to Turkey on March 23. She could be sentenced to 15 years in prison. Noelle Velentzas and Asia Siddiqui were arrested in New York.,"The FBI cites social media messages sent by Keonna Thomas, 30 .
She's accused of trying to travel overseas to join ISIS .
Thomas is one of three women facing federal terror charges this week ."
107,"The Clown Prince of Crime will appear in 2016's ""Suicide Squad,"" the first movie featuring the best-known comic book villain. The Oscar winner cut his hair and shaved his face for the role. He will be the first actor to play the character on the big screen since Heath Ledger.","Jared Leto unveiled as the Joker for the first time on Twitter .
Leto stars in 2016's ""Suicide Squad"""
108,"No one was injured in the shooting, and no arrests have been made. Police are still looking for suspects. Lil Wayne was in Atlanta for a performance at Compound nightclub.","Rapper Lil Wayne not injured after shots fired at his tour bus on an Atlanta interstate, police say .
No one has been arrested in the shooting ."
109,"Powers played Thelma's (BernNadette Stanis) husband Keith Anderson on the final season of ""Good Times"" He joined the cast of ""Good Times"" for its sixth and final season from 1978 to 1979.","Ben Powers joined the cast of ""Good Times"" for its sixth and final season .
He played Thelma's husband Keith Anderson ."
110,"Kurdish separatists open fire from a long distance, military says. Four Turkish soldiers also wounded in clashes with Turkish forces, military says. Turkish President Recep Tayyip Erdogan condemns the attack.","Four Turkish troops were wounded in the flight, according to the country's military .
Turkey President  Recep Tayyip Erdogan says clashes are attempt to halt a resolution process with Kurds .
Violence between Kurds and the Turkish military has been ongoing for more than three decades ."
111,"""True Detective"" premieres June 21. Colin Farrell, Vince Vaughn, Rachel McAdams and Taylor Kitsch star in the new season. The first season starred Matthew McConaughey and Woody Harrelson.","HBO released a teaser video for the new season, starting June 21 .
The series stars Colin Farrell and Vince Vaughn ."
112,"""This was a gruesome discovery,"" District Attorney Marian Ryan says. Carlos Colina, 32, is charged with assault and battery causing serious bodily injury. Police are notified of a suspicious item along a walkway in Cambridge, Massachusetts.","Carlos Colina, 32, is arraigned on charges of assault and battery, improper disposal of a body .
Body parts were discovered Saturday in a duffel bag and a common area of an apartment building .
The victim in the case is identified as Jonathan Camilien, 26; authorities say he knew Colina ."
113,"Anthony Doerr's ""All the Light We Cannot See"" won the Pulitzer Prize for fiction Monday. He was also a finalist for the National Book Award. Other winners in arts and letters categories include ""Encounters at the Heart of the World""","Anthony Doerr's ""All the Light We Cannot See"" wins Pulitzer for fiction .
Elizabeth Kolbert's ""The Sixth Extinction"" wins general nonfiction prize ."
114,"New York's iconic Statue of Liberty and Liberty Island will reopen to the public Saturday. The NYPD bomb squad examined a locker thought to contain a suspicious package, a law enforcement source says. About 2,700 people were safely transported from the island, officials say.","Statue of Liberty to reopen Saturday .
Locker thought to have a suspicious package was empty, police say .
Statue of Liberty evacuated after bomb threat, officials say .
The evacuation came after a phoned threat, sources say ."
115,"AP McCoy wins Grand National for the second time in his career. He is the first jockey since the 1950s to ride back-to-back winners on different horses. Aspell won by a length and a half, ridden by Leighton Aspell.","25-1 shot Many Clouds wins Grand National .
Second win a row for jockey Leighton Aspell .
First jockey to win two in a row on different horses since 1950s ."
116,"Dr. Oz is increasingly serving himself at a cost to Columbia University and New York Presbyterian Hospital, he says. He says the media's failings in delightedly circulating the letter aren't surprising.","Ford Vox: When celeb doc Mehmet Oz slammed by doctors for 'quack' medicine, he hit back, but their complaint has some basis .
He says Oz scorned by some in medical community, at Senate hearing; comics joke about him. He serves himself at cost to his hospital ."
117,"passenger lost consciousness before being released, SkyWest spokeswoman says. Flight 5622 was originally scheduled to fly from Chicago to Hartford. The plane descended 28,000 feet in three minutes.","FAA backtracks on saying crew reported a pressurization problem .
One passenger lost consciousness .
The plane descended 28,000 feet in three minutes ."
118,"Italian authorities arrest 15 people on suspicion of murdering the Christians at sea. The original group of 105 people left Libya on Tuesday in a rubber boat, police say. Sometime during the trip north across the Mediterranean Sea, the alleged assailants threw the 12 overboard.","The 12 victims were from Nigeria and Ghana, police said .
The group of 105 people left Libya, bound for Italy .
More than 10,000 people have arrived on Italian shores from Libya since last weekend ."
119,"Sandra Bullock, 50, joins a long line of actresses to receive the honor. ""Real beauty is quiet. Be a good mom; do a good job with the lunch,"" she says.","People magazine has named actress Sandra Bullock the most beautiful woman in the world .
""Be a good person; be a good mom; do a good job with the lunch,"" she says ."
120,"convicted Boston Marathon bomber Dzhokhar Tsarnaev was the lesser of two evils, he says. He says jury must vote for death as more appropriate punishment; it's likely to get and why. He says Prosecutors have listed aggravating circumstances that make Tsarnaev deserve harshest punishment.","Robert Blecker: In sentencing phase, the prosecution lays out wealth of evidence that Dzhokhar Tsarnaev deserves penalty reserved for the worst of the worst .
He predicts most of the jury will vote for a death sentence, but it must be unanimous; therefore, Tsarnaev will most likely get life in prison ."
121,"""I didn't have to worry about what anyone else in the world even knew I was there,"" Sideri says. He is working full time as a salesman for his family and attends school to become a substance abuse counselor.","Strung out on heroin, Anthony Sideri robbed a bank .
He had to go through withdrawal in a jail cell .
Overcoming addiction is possible, he says, as he's building a new life as a family man ."
122,"Trey Moses and Ellie Meredith have a lot of planning to do. Trey was originally going to take Ellie to Eastern's prom. ""You just feel numb to those moments raising a special needs child,"" her mom says.","College-bound basketball star asks girl with Down syndrome to high school prom .
Pictures of the two during the ""prom-posal"" have gone viral ."
123,"""It's so crazy how you live next to someone,"" a neighbor says. Noelle Velentzas and Asia Siddiqui are charged with conspiring to provide material support to ISIS, prosecutors say.","Noelle Velentzas and Asia Siddiqui are arrested in connection with a plot inspired by ISIS .
Thursday's arrests are part of a series of cases being built by the federal government ."
124,"Hernandez has pleaded not guilty to murder and two weapons charges, setting the stage for his trial in Fall River, Massachusetts. Jury deliberations began Tuesday after closing arguments. The motive is unclear but not legally required to get a conviction.","Jury selection for the Aaron Hernandez trial started back in January .
The jury began its deliberations on Tuesday .
The case has a complicated cast of characters ."
125,julian zelizer: Hillary Clinton will make women and being a woman central to her outreach. He says Democrats who overtly pandered to women at the expense of real issues crashed and burned. He says she's not going to be bullied into voting Democratic by false cries of sexism.,"S.E. Cupp: Clinton making women central to outreach, but she should really focus on men .
In 2014 election, overplaying to one gender failed -- particularly with ""war on women"""
126,"""A.D. The Bible Continues,"" 9 p.m. ET Sunday, NBC. ""Mad Men"" fans will learn the fate of Don Draper and the cast of characters. Louis C.K.'s critically-acclaimed comedy is back for a fifth season.","Sequel to popular ""Bible"" miniseries debuting on NBC .
""Mad Men"" premieres the first of its final episodes .
Netflix premieres its first Marvel series, ""Daredevil"""
127,"""I am honored to stand by Bruce Jenner's side and support him,"" a transgender actress tweets. ""I accept that Bruce Jenner is a Republican and wish him happiness,"" says Trans Equality.","Social media largely supports Jenner .
More people seemed intrigued that he's a Republican ."
128,"""I will tell you it is not acceptable in Bay County,"" a sheriff's office says. The video shows suspects pushing the victim's hand aside and holding her legs down, police say. A woman told police she may have been drugged and gang-raped on Panama City Beach.","Third suspect identified as George Davon Kennedy of Murfreesboro, Tennessee .
Young woman was raped on a crowded beach in broad daylight, police say .
Some bystanders saw what was happening and didn't stop it, authorities say ."
129,"ash from Calbuco Volcano spread east into Argentina, geologists warn. The volcano has already erupted twice this week. Authorities issued a red alert for Puerto Montt and Puerto Varas in the south.","Volcano already has erupted twice this week .
It has spewed ash to a depth of about 23½ inches in some places, Chilean officials say .
Authorities issue an alert for two towns, and there's a 12-mile exclusion zone ."
130,Amina Ali Qassim and her family fled Birim at first light. It took them five hours to cross into the north of Djibouti. The U.N. says thousands more refugees are expected.,"Amina Ali Qassim's family sought shelter in a mosque before fleeing Yemen .
Thousands like them are boarding boats to sail to Djibouti .
Saudi Arabia has been pounding Yemen in a bid to defeat Houthi rebels ."
131,"Afghan soldier opened fire on U.S. troops as they were leaving a meeting, police chief says. An Afghan soldier was killed and another injured in a subsequent exchange of gunfire, police chief says.","Gunfire erupts after senior U.S. official meets with Afghan governor in Jalalabad, U.S. Embassy says .
Afghan soldier fires at U.S. troops, Afghan police official says ."
132,RDJ grew increasingly agitated as a Channel 4 interviewer from the UK asked about his private life on Tuesday. It even has a hashtag: #Kylie JennerChallenge. Ewan McGregor to play Lumiere in 'Beauty and the Beast,"What do funeral strippers, a quadruple rainbow and Kylie Jenner have in common? They all trended this week!"
133,"Nepalese and international medical teams are treating the injured in remote mountainous areas. The hospital is ill-equipped to treat more serious injuries and serves mostly as a transit point. ""Mother and Child"" helps the needy during disasters around the world.","A trip to the town of Gorkha shows the human toll of the earthquake .
International teams are assisting Nepalese medical staff, officials ."
134,"""winning"" should not be mistaken for having ""won,"" he says. Pence is drawing huge heat for his decision to sign a religious freedom law, he says. Republican Jeb Bush was first to rush in to defend Pence and the law, he says.","LZ: Indiana law pushing back LGBT rights, and other states' anti-LGBT moves, bow to far right wing that GOP candidates need for 2016 .
Cruz, Huckabee, Jindal, Carson, Walker are reviving culture wars, he says.  Equality for LGBT has not yet ""won"" in America ."
135,"""The police have a lot of questions that need to be answered,"" an attorney says. Gray was arrested after police found what they say was a switchblade on him. The family has not yet seen the autopsy report.","Two people are taken into custody, but the protests -- on the whole -- are peaceful .
Baltimore police commissioner sits down with the Gray family ."
136,"Recruiting for the ISIS terrorist network is a particular problem in Minnesota's community of Somali immigrants. ""They were not easily influenced,"" U.S. Attorney Andrew M. Luger says. A friend changed his mind and became a cooperating witness for the FBI.","Six young Minnesotans conspired to sneak into Syria and join ISIS ""by any means necessary,"" prosecutors say .
The men, ages 19 to 21, were arrested Sunday .
They plotted for 10 months, the U.S. attorney for the District of Minnesota says ."
137,Gregorio Billikopf lives across Lake Llanquihue from Calbuco Volcano. He describes the event as spectacular but not as severe as the previous ones. A 20-kilometer (12-mile) exclusion zone has been established around the crater.,"""There is still smoke on and off,"" says resident with distant view .
The volcano erupts for third time since April 22 .
About 1,500 people are evacuated, an official says, according to CNN Chile ."
138,"White will wrap his touring efforts in support of ""Lazeretto"" with a brief, first-ever acoustic tour that will hit ""the only five states left in the U.S. that he has yet to play"" The shows will be unannounced until day-of-show, with tickets priced at $3 and limited to one ticket per person.","Jack White taking a hiatus from touring after brief acoustic jaunt .
He'll play five states he has yet to get to, charge just $3 .
Places and times of shows are currently a mystery ."
139,"Bikram Choudhury says he has no intention to have sex with any of his students. ""It was really quite life-changing for me,"" Sarah Baughn says. Five other women have come forward with civil lawsuits against Choudhury.","Yoga guru Bikram Choudhury denies sexual assault allegations .
His accusers, he says, were manipulated to lie about him .
A former student says he uses his yoga accomplishments to hide the harm he's caused ."
140,"sally kohn: Apple has expanded its emoji lineup to include more diversity than ever. Kohn: It's not clear if someone who likes to use same-sex kissing emojis can be denied service by gays. Kohn: ""Religious liberty"" conservatives will follow","Dean Obeidallah: Apple's new emoji lineup is diverse in race, ethnicity and sexual orientation .
It's just like America, but what took Apple so long? Obeidallah asks .
He says change may rankle (or win over?) conservatives who discriminate against people because of their sexual orientation ."
141,"Saudi Arabia announces the end of its Operation Decisive Storm, a nearly monthlong air campaign against Houthi positions. The U.N.-sponsored talks should resume ""but only after a complete halt of attacks,"" a source says. Saudi officials say airstrikes have degraded Houthi-controlled military infrastructure.","Houthis call for halt to fighting and resumption of peace talks .
The cessation of airstrikes lasted less than 24 hours .
Next phase, called ""Operation Renewal of Hope,"" will focus on political process ."
142,"""Flower Man"" is a wholesale flower market that attracts more than 2,000 sellers each day. Photographer Ken Hermann: ""I wanted to shoot the sellers in front of a neutral background"" His portraits are shot by the Hooghly River, along the Hooghly River.","Malik Ghat is a wholesale flower market in India that attracts more than 2,000 sellers each day .
Photographer Ken Hermann spent 10 days at the market photographing his project ""Flower Man"""
143,"Cheryl's birthday challenge went viral after Singapore television host Kenneth Kong posted it to Facebook. She gives friends Albert and Bernard a list of possible birthday dates. The Internet has offered other solutions to the problem, along with explanations.","A logic question about ""Cheryl's birthday"" goes viral .
The clues give just enough information to eliminate most possibilities .
It spread after a Singapore television host posted it to Facebook ."
144,"scientists have found mutations in mast cells that may cause a near-death experience. Scientists don't know yet what causes the disease. Genetics may make some children more susceptible to developing the mutations, says Dr. Lawrence Afrin.","Brynn Duncan has mast cell disease, which causes her to be allergic to almost everything .
Duncan has a feeding tube and is on constant doses of antihistamine ."
145,"Avril Lavigne says she was bedridden for five months after contracting Lyme disease. The singer has revealed to People magazine that she was bedridden for five months. ""I felt like I couldn't breathe, I couldn't talk, and I couldn't move,"" she said.","The singer had been off the scene for a while .
She says she was bedridden for months .
Lavigne was sometimes too weak to shower ."
146,Anne Frank died of typhus in a Nazi concentration camp at the age of 15. The sisters were separated from their mother and sent away to work as slave labor. A deadly typhus outbreak caused thousands to die each day.,"Museum: Anne Frank died earlier than previously believed .
Researchers re-examined archives and testimonies of survivors .
Anne and older sister Margot Frank are believed to have died in February 1945 ."
147,"""Silas Randall Timberlake was the middle name of Bill Bomar,"" People reports. The couple announced the pregnancy in January.","Timberlake and Biel welcome son Silas Randall Timberlake .
The couple announced the pregnancy in January ."
148,Alabama college students are accused of gang raping a woman while on spring break. The video was turned over to the Bay County Sheriff's Office. The victim was a visitor in Panama City.,"Case begins when police find video of what appears to be a gang rape .
2 students from Troy University in Alabama are charged in the case ."
149,"Ukraine is deeply divided, and it has been for years. Opposition Bloc wants an investigation of the killings of Oleg Kalashnikov and Olez Buzyna.","Five recent deaths heighten suspicions on both side of Ukraine's ethnic divide .
Ukraine's President orders an investigation of the recent killings .
The opposition calls the killings ""oppression,"" but the government says Moscow may be to blame ."
150,Indonesian president Joko Widodo can claim that it is essentially a domestic issue. He says the use of state-sanctioned violence has become a key part of America's war on terror.,"Indonesia executed eight prisoners including two Australians on Wednesday .
Two of ""Bali Nine"" were killed despite Australia's pleas for mercy .
All around the world, innocent people being killed by the state in our name, writes Mark Beeson ."
151,"Mariah Carey is the queen of the 1990s. She was ridiculed for ""Glitter"" but has more than since redeemed herself with small roles in Lee Daniels films.","New Line Cinema is reportedly planning a Mariah Carey Christmas movie .
Carey was queen of the '90s, and that decade is totally hot now ."
152,"This page includes the show Transcript. Use the Transcript to help students with reading comprehension and vocabulary. At the bottom of the page, comment for a chance to be mentioned on CNN Student News. You must be a teacher or a student age 13 or older to request a mention on","This page includes the show Transcript .
Use the Transcript to help students with reading comprehension and vocabulary .
At the bottom of the page, comment for a chance to be mentioned on CNN Student News.  You must be a teacher or a student age 13 or older to request a mention on the CNN Student News Roll Call."
153,"""We don't get choked up too often at work,"" a White House aide says. The family of Warren Weinstein was initially reluctant to take their case to Congress. President Obama calls for more reforms in the U.S.","About a year after al Qaeda took Warren Weinstein hostage, his family paid a ransom, a Pakistani source says .
The captors demanded that other prisoners be released, the source says .
Weinstein, an American aid worker, was killed in a drone strike in January, the U.S. says ."
154,"Hillary Clinton says she will be a ""champion"" of allies in the finance world. The former secretary of state has long enjoyed a close relationship with the financial industry. Some liberal groups have launched a formal draft campaign to elevate her.","Hillary Clinton developed a close relationship with the financial world as a New York senator .
Clinton's allies there are eager to galvanize a broad network of potential donors .
Her coziness with Wall Street irritates liberal activists, who are a growing influence in the Democratic Party ."
155,Theia is a friendly white-and-black bully breed mix now named Theia. She was found by a worker who took her to a vet for help. A fundraising page has been set up to help pay for the dog's treatment.,"Theia, a bully breed mix, was apparently hit by a car, whacked with a hammer and buried in a field .
""She's a true miracle dog and she deserves a good life,"" says Sara Mellado, who is looking for a home for Theia ."
156,Maysak is moving west-northwest after skirting the Federated States of Micronesia. It is expected to make landfall in the central or northern part of the Philippine island of Luzon on Sunday. The storm has weakened and is expected to lose more strength before it reaches the Philippines.,"Maysak has sustained winds of more than 130 mph but is expected to weaken .
It's forecast to hit the Philippines during the Easter weekend ."
157,"""We know where to look. We know how to look,"" NASA chief scientist Ellen Stofan says. The Hubble Space Telescope has been key to the discoveries, NASA says. He thinks it's just a matter of time before we find life outside our solar system as well.","NASA chief scientist Ellen Stofan believes we're close to finding alien life .
Indications within a decade; definitive evidence within ""20 to 30 years,"" she said .
Finding water on other celestial bodies is key to determination ."
158,"FBI says one of its most wanted terrorists was killed in an otherwise disastrous raid in the Philippines. A DNA sample showed a link with a known relative of Marwan, FBI says. The FBI has been offering a $5 million reward for information leading to Marwan's capture.","A man killed in a raid in the Philippines in January was a ""most wanted"" terrorist, the FBI says .
Marwan was a Malaysian believed to have provided support to Islamist terror groups .
44 elite Philippine commandos were killed in the raid on his hideout last month ."
159,"This page includes the show Transcript. Use the Transcript to help students with reading comprehension and vocabulary. At the bottom of the page, comment for a chance to be mentioned on CNN Student News. You must be a teacher or a student age 13 or older to request a mention on","This page includes the show Transcript .
Use the Transcript to help students with reading comprehension and vocabulary .
At the bottom of the page, comment for a chance to be mentioned on CNN Student News.  You must be a teacher or a student age 13 or older to request a mention on the CNN Student News Roll Call.
The Weekly Newsquiz tests students' knowledge of events in the news ."
160,"""It's very difficult for the court to say: 'Oh, well, we know better,"" one protester interrupts arguments. Justice Anthony Kennedy is considered a key vote for challengers to the state bans.","Questions Tuesday centered on whether defining marriage should be left to voters in individual states or decided by  judicial system .
Chief Justice John Roberts, who shocked conservatives with his swing vote to uphold Obamacare, seemed to lean conservative .
Eyes on Justice Anthony Kennedy, a key vote for challengers to the state bans, who has penned decisions in favor of gay rights ."
161,"""I couldn't run. I couldn't touch a basketball,"" Jeff Green says. He had open heart surgery to repair his heart. He is now using his story to raise awareness of hidden heart risk.","NBA player Jeff Green had open heart surgery to repair an aortic aneurysm in 2011 .
Green missed the entire 2011-2012 basketball season .
Now he donates time to young cardiovascular patients ."
162,"jury selection started in January with 9,000 potential jurors. James Holmes is accused of killing 12 people and injuring 70 others. He faces 165 counts, including murder and attempted murder charges.","In the murder trial of James Holmes, 12 jurors and 12 alternates have been selected .
The mostly middle-aged group includes 19 women and five men .
Jury selection started in January; opening statements are scheduled to begin on April 27 ."
163,Kenyan tech entrepreneur Regina Agyare has set up a mentoring program to help girls shape their future. Achievers Ghana supports 250 girls between the age of six and 18. The group provides school funding to help girls reach their full potential.,"Many girls in Nima,one of Accra's poorest slums, receive little or no education .
Achievers Ghana is a school funded by the community to give the next generation a better chance of success .
Girls are being taught to code by tech entrepreneur Regina Agyare, who believes her students will go far ."
164,"Hundreds of music retailers will hold events to commemorate Record Store Day. Many stores will host live performances, drawings, book signings, special sales of rare or autographed vinyl and other happenings. They are cultural institutions that celebrate music history, display artifacts and nurture local music scene.","Saturday is Record Store Day, celebrated at music stores around the world .
Many stores will host live performances, drawings and special sales of rare vinyl ."
165,a successful climate pact will send a signal around the world that a shift to a low-carbon economy is underway. The United States has made clear that it is ready to step up to the plate on climate change.,"Bill Richardson: U.S  announced plan to cut greenhouse gas emissions by 26% to 28% below 2005 levels by 2025 .
He says China, India, major corporations, cities among those already setting goals for cutting emissions. U.S. must lead in this effort ."
166,"sally kohn: President Obama is giving up enormous leverage in his nuclear deal with Iran. Kohn: He says it lacks tough safeguards to stop Iran from cheating. Kohn: We can't rely on such luck in the future, especially when Iran still hasn't come clean about its history of secret weapons development.","Ed Royce: Best predictor of Iran's future behavior is its past behavior .
New framework keeps Iran's nuclear door well and truly open, he says ."
167,"Indonesian officials say all 10 prisoners will be executed at the same time, a lawyer says. The two Australians had their petitions for clemency denied earlier this month. U.N. Secretary-General Ban Ki-moon calls on Indonesia to reverse their decision.","Australian and Philippines governments given notice their nationals will be executed in 72 hours .
They include Philippines maid Mary Jane Velos and Australians Andrew Chan and Myuran Sukumaran .
Australia has repeatedly appealed for clemency for the pair ."
168,"""Mad Men"" has become part of the national fabric, if never a huge ratings hit. Don Draper is a creative director played by Jon Hamm. He says it's likely that the new season will pick up soon afterward.","""Mad Men's"" final seven episodes begin airing April 5 .
The show has never had high ratings but is considered one of the great TV series .
It's unknown what will happen to characters, but we can always guess ."
169,Floyd Mayweather and Manny Pacquiao will go on sale after a deal on allocation was reached for the fight. The welterweight world title fight is likely to smash all revenue records. Pacquiao has run for political office in his native Philippines.,"Promoter: Manny Pacquiao's has between 800 and 900 friends who want tickets to historic Las Vegas clash .
Kenny Bayless named as referee in Mayweather-Pacquiao's bout, dubbed the ""fight of the century"""
170,camels are racing for thousands of dollars in prize money and fancy new cars for their owners. Al Marmoum camel race is an ancient tradition in the region.,"Camel racing is a centuries-old tradition in the Gulf .
Modern technology is changing the sport .
Camels compete for thousands of dollars in prize money ."
171,"Hong Kong has booming black market, but it's not for fake Apple Watches or the iPhone. The shop is swarming with people handing over wads of cash for the ""little bear"" cookies. Other parts of the world, food mania has erupted, swiftly winning people's hearts and stomachs.","Tourists and locals queue for several hours to get their hands on Jenny's butter cookies .
People are even hired to stand in line to buy the cookies, which are later sold at an up-to-70% mark-up .
Food frenzies have also taken place in other parts of the world ."
172,Bates is charged with second-degree manslaughter in the shooting of Eric Harris. A Harris family lawyer provided documents to CNN from the 2009 inquiry. The Tulsa County Sheriff's Office has not responded to repeated calls for comment.,"Documents show that officers thought Robert Bates got special treatment .
The reserve deputy has pleaded not guilty to charge of second-degree manslaughter .
Bates says meant to use his Taser but shot Eric Harris by mistake ."
173,"Israeli military says airstrikes were carried out in the occupied Golan Heights. Three of the alleged attackers were killed, Israeli media reports. The Golan is regarded internationally as occupied territory despite Israeli control.","The Israeli military says the militants were trying to plant a bomb .
The men crossed from Syria, Israel says ."
174,"a group of U.S. organizations have filed a lawsuit against the State Department and Defense Department over the government's stance on evacuations. The United States has said it is too risky to conduct an evacuation of citizens from Yemen. ""We have to make a decision based on the security situation,"" one U.S. official says.","No official way out for Americans stranded amid fighting in Yemen .
U.S. Deputy Chief of Mission says situation is very dangerous so no mass evacuation is planned ."
175,"Yemeni officials say airstrikes targeted a school in Ibb province, killing at least a half dozen students. A third source says three students have been killed as a result of an airstrike. The U.S. has promised to resupply the weapons stocks used in the last two weeks.","Saudi military official accuses Iran of training and arming rebels .
Yemeni officials say school hit by airstrikes; one source says three students killed .
Noncombatants are caught up in Yemen's fighting ."
